,variable,variable_group
1,V1,profile
2,V2,profile
3,V3,profile
4,V4,profile
5,V5,profile
6,V6,profile
7,V7,profile
8,V8,profile
9,V9,profile
10,V10,profile
11,V11,profile
12,V12,profile
13,V13,profile
14,V14,profile
15,V15,profile
16,V16,profile
17,V17,profile
18,V18,profile
19,V19,profile
20,V20,profile
21,V21,profile
22,V22,profile
23,V23,profile
24,V24,profile
25,V25,profile
26,V26,profile
27,V27,profile
28,V28,profile
29,V29,profile
30,V30,profile
31,V31,profile
32,V32,profile
33,V33,profile
34,V34,profile
35,V35,profile
36,V36,profile
37,V37,profile
38,V38,profile
39,V39,profile
40,V40,profile
41,V41,profile
42,V42,profile
43,V43,profile
44,V44,profile
45,V45,profile
46,V46,profile
47,V47,profile
48,V48,profile
49,V49,profile
50,V50,profile
51,V51,profile
52,V52,profile
53,V53,profile
54,V54,profile
55,V55,profile
56,V56,profile
57,V57,profile
58,V58,profile
59,V59,profile
60,V60,profile
61,V61,profile
62,V62,profile
63,V63,profile
64,V64,profile
65,V65,profile
66,V66,profile
67,V67,profile
68,V68,profile
69,V69,profile
70,V70,profile
71,V71,profile
72,V72,profile
73,V73,profile
74,V74,profile
75,V75,profile
76,V76,profile
77,V77,profile
78,V78,profile
79,V79,profile
80,V80,profile
81,V81,profile
82,V82,profile
83,V83,profile
84,V84,profile
85,V85,profile
86,V86,profile
87,V87,profile
88,V88,profile
89,V89,profile
90,V90,profile
91,V91,profile
92,V92,profile
93,V93,profile
94,V94,profile
95,V95,profile
96,V96,profile
97,V97,profile
98,V98,profile
99,V99,profile
100,V100,profile
101,V101,profile
102,V102,profile
103,V103,profile
104,V104,profile
105,V105,profile
106,V106,profile
107,V107,profile
108,V108,profile
109,V109,profile
110,V110,profile
111,V111,profile
112,V112,profile
113,V113,profile
114,V114,profile
115,V115,profile
116,V116,profile
117,V117,profile
118,V118,profile
119,V119,profile
120,V120,profile
121,V121,profile
122,V122,profile
123,V123,profile
124,V124,profile
125,V125,profile
126,V126,profile
127,V127,profile
128,V128,profile
129,V129,profile
130,V130,profile
131,V131,profile
132,V132,profile
133,V133,profile
134,V134,profile
135,V135,profile
136,V136,profile
137,V137,profile
138,V138,profile
139,V139,profile
140,V140,profile
141,V141,profile
142,V142,profile
143,V143,profile
144,V144,profile
145,V145,profile
146,V146,profile
147,V147,profile
148,V148,profile
149,V149,profile
150,V150,profile
151,V151,profile
152,V152,profile
153,V153,profile
154,V154,profile
155,V155,profile
156,V156,profile
157,V157,profile
158,V158,profile
159,V159,profile
160,V160,profile
161,V161,profile
162,V162,profile
163,V163,profile
164,V164,profile
165,V165,profile
166,V166,profile
167,V167,profile
168,V168,profile
169,V169,profile
170,V170,profile
171,V171,profile
172,V172,profile
173,V173,profile
174,V174,profile
175,V175,profile
176,V176,profile
177,V177,profile
178,V178,profile
179,V179,profile
180,V180,profile
181,V181,profile
182,V182,profile
183,V183,profile
184,V184,profile
185,V185,profile
186,V186,profile
187,V187,profile
188,V188,profile
189,V189,profile
190,V190,profile
191,V191,profile
192,V192,profile
193,V193,profile
194,V194,profile
195,V195,profile
196,V196,profile
197,V197,profile
198,V198,profile
199,V199,profile
200,V200,profile
201,keramik_H_max,height
202,dm_1,diameter
203,dm_2,diameter
204,bodenform_Abgeflacht,bodenform
205,bodenform_flach,bodenform
206,bodenform_Flach,bodenform
207,bodenform_rund,bodenform
208,bodenform_Standboden,bodenform
209,umbruchform_rund,umbruchform
210,umbruchform_scharf,umbruchform
211,umbruchform_spitz,umbruchform
212,decoration_AOC,decoration
213,decoration_AOO,decoration
214,decoration_Corded_Linear,decoration
215,decoration_Corded_Linear_Reserved,decoration
216,decoration_Linear,decoration
217,decoration_Linear_Reserved,decoration
218,decoration_maritime,decoration
219,decoration_special,decoration
220,decoration_zonal,decoration
