,ind_nr,profile_img_path,orig_img_path,keramik_H_max,dm_1,dm_2,bodenform,umbruchform,decoration
57,analysis/data/input_data/object_images/original_images/44.01_02.png,profile_images/44.01_02_2.png,original_images/44.01_02.png,103,98,109,Flach,rund,Linear
58,analysis/data/input_data/object_images/original_images/44.01_04.png,profile_images/44.01_04_2.png,original_images/44.01_04.png,317,254,321,Flach,rund,AOO
59,analysis/data/input_data/object_images/original_images/44.01_04b.png,profile_images/44.01_04b_2.png,original_images/44.01_04b.png,136,107,138,Flach,rund,AOO
60,analysis/data/input_data/object_images/original_images/44.01_09.png,profile_images/44.01_09_2.png,original_images/44.01_09.png,94,88,97,Flach,rund,maritime
61,analysis/data/input_data/object_images/original_images/44.01_11.png,profile_images/44.01_11_2.png,original_images/44.01_11.png,113,107,124,Flach,rund,maritime
62,analysis/data/input_data/object_images/original_images/44.01_14.png,profile_images/44.01_14_2.png,original_images/44.01_14.png,200,161,195,Flach,rund,AOC
63,analysis/data/input_data/object_images/original_images/44.01_15.png,profile_images/44.01_15_2.png,original_images/44.01_15.png,157,127,153,Flach,rund,Linear-Reserved
64,analysis/data/input_data/object_images/original_images/44.04_0006.png,profile_images/44.04_0006_2.png,original_images/44.04_0006.png,87,85,95,rund,spitz,Corded-Linear-Reserved
65,analysis/data/input_data/object_images/original_images/44.04_0008.png,profile_images/44.04_0008_2.png,original_images/44.04_0008.png,85,118,137,flach,scharf,special
66,analysis/data/input_data/object_images/original_images/44.04_01.png,profile_images/44.04_01_2.png,original_images/44.04_01.png,94,88,108,Flach,rund,Linear-Reserved
67,analysis/data/input_data/object_images/original_images/44.04_02.png,profile_images/44.04_02_2.png,original_images/44.04_02.png,185,174,212,Flach,rund,Corded-Linear-Reserved
68,analysis/data/input_data/object_images/original_images/44.04_05.png,profile_images/44.04_05_2.png,original_images/44.04_05.png,149,174,211,Abgeflacht,rund,Corded-Linear-Reserved
69,analysis/data/input_data/object_images/original_images/44.04_07.png,profile_images/44.04_07_2.png,original_images/44.04_07.png,83,119,130,Abgeflacht,scharf,Corded-Linear
70,analysis/data/input_data/object_images/original_images/44.04_09.png,profile_images/44.04_09_2.png,original_images/44.04_09.png,83,96,119,Abgeflacht,scharf,Corded-Linear
71,analysis/data/input_data/object_images/original_images/44.04_11.png,profile_images/44.04_11_2.png,original_images/44.04_11.png,98,117,165,Standboden,scharf,maritime
72,analysis/data/input_data/object_images/original_images/44.04_13.png,profile_images/44.04_13_2.png,original_images/44.04_13.png,168,132,170,Standboden,rund,Linear
73,analysis/data/input_data/object_images/original_images/44.04_14.png,profile_images/44.04_14_2.png,original_images/44.04_14.png,89,108,149,Standboden,scharf,maritime
74,analysis/data/input_data/object_images/original_images/44.04_39.png,profile_images/44.04_39_2.png,original_images/44.04_39.png,94,88,108,Flach,rund,maritime
75,analysis/data/input_data/object_images/original_images/44.04_57.png,profile_images/44.04_57_2.png,original_images/44.04_57.png,131,104,133,Flach,rund,maritime
76,analysis/data/input_data/object_images/original_images/44.04_62.png,profile_images/44.04_62_2.png,original_images/44.04_62.png,132,104,133,Standboden,rund,Linear
77,analysis/data/input_data/object_images/original_images/45.01_01.png,profile_images/45.01_01_2.png,original_images/45.01_01.png,251,341,381,Standboden,rund,maritime
78,analysis/data/input_data/object_images/original_images/45.01_01b.png,profile_images/45.01_01b_2.png,original_images/45.01_01b.png,126,146,164,Flach,rund,maritime
79,analysis/data/input_data/object_images/original_images/45.01_02.png,profile_images/45.01_02_2.png,original_images/45.01_02.png,100,115,129,Flach,rund,maritime
80,analysis/data/input_data/object_images/original_images/45.01_03.png,profile_images/45.01_03_2.png,original_images/45.01_03.png,90,104,128,Standboden,scharf,zonal
81,analysis/data/input_data/object_images/original_images/45.01_04.png,profile_images/45.01_04_2.png,original_images/45.01_04.png,86,115,129,Flach,rund,zonal
82,analysis/data/input_data/object_images/original_images/45.01_05.png,profile_images/45.01_05_2.png,original_images/45.01_05.png,90,103,128,Standboden,scharf,zonal
83,analysis/data/input_data/object_images/original_images/45.01_06.png,profile_images/45.01_06_2.png,original_images/45.01_06.png,173,198,222,Flach,rund,Corded-Linear-Reserved
84,analysis/data/input_data/object_images/original_images/45.01_07.png,profile_images/45.01_07_2.png,original_images/45.01_07.png,106,122,149,Standboden,scharf,Corded-Linear
85,analysis/data/input_data/object_images/original_images/45.01_08.png,profile_images/45.01_08_2.png,original_images/45.01_08.png,156,262,320,Abgeflacht,scharf,Corded-Linear
86,analysis/data/input_data/object_images/original_images/45.01_08b.png,profile_images/45.01_08b_2.png,original_images/45.01_08b.png,70,118,143,rund,scharf,Corded-Linear
87,analysis/data/input_data/object_images/original_images/45.01_10.png,profile_images/45.01_10_2.png,original_images/45.01_10.png,110,186,228,Abgeflacht,scharf,Corded-Linear
88,analysis/data/input_data/object_images/original_images/45.01_11.png,profile_images/45.01_11_2.png,original_images/45.01_11.png,61,99,122,rund,scharf,Corded-Linear
89,analysis/data/input_data/object_images/original_images/45.01_14.png,profile_images/45.01_14_2.png,original_images/45.01_14.png,99,115,130,Abgeflacht,rund,Corded-Linear
90,analysis/data/input_data/object_images/original_images/45.01_35.png,profile_images/45.01_35_2.png,original_images/45.01_35.png,125,99,120,Abgeflacht,rund,Corded-Linear-Reserved
91,analysis/data/input_data/object_images/original_images/45.01_36.png,profile_images/45.01_36_2.png,original_images/45.01_36.png,99,115,129,Flach,rund,Corded-Linear-Reserved
92,analysis/data/input_data/object_images/original_images/45.01_37.png,profile_images/45.01_37_2.png,original_images/45.01_37.png,156,262,318,Abgeflacht,scharf,Corded-Linear-Reserved
93,analysis/data/input_data/object_images/original_images/45.01_38.png,profile_images/45.01_38_2.png,original_images/45.01_38.png,66,112,136,Abgeflacht,scharf,maritime
94,analysis/data/input_data/object_images/original_images/45.03_05.png,profile_images/45.03_05_2.png,original_images/45.03_05.png,80,121,136,Abgeflacht,scharf,zonal
95,analysis/data/input_data/object_images/original_images/45.03_06.png,profile_images/45.03_06_2.png,original_images/45.03_06.png,125,175,208,Standboden,scharf,zonal
96,analysis/data/input_data/object_images/original_images/45.03_11.png,profile_images/45.03_11_2.png,original_images/45.03_11.png,157,102,124,Standboden,rund,special
